station_name,row_kind,slot,day_group,package_name,broadcast_frequency,coverage_type,province_codes,city_labels,language_codes,target_audience,existing_audience_age_skew,existing_audience_gender_skew,existing_audience_lsm_range,station_tier,station_format,audience_income_fit,premium_mass_fit,price_positioning_fit,youth_fit,family_fit,professional_fit,commuter_fit,high_value_client_fit,business_decision_maker_fit,morning_drive_fit,workday_fit,afternoon_drive_fit,evening_fit,weekend_fit,urban_rural_fit,language_context_fit,buying_behaviour_fit,brand_safety_fit,objective_fit_primary,objective_fit_secondary,audience_age_skew,audience_gender_skew,content_environment,presenter_or_show_context,primary_audience_tags,secondary_audience_tags,recommendation_tags,intelligence_notes,source_urls,data_confidence,updated_by,internal_key,media_outlet_code,source_type
5FM,station,,,,24/7 national terrestrial FM + streaming,national,national,,english,Upwardly mobile and trendsetting youth.,Youth,Balanced (slight male-leaning),LSM 6-10,,,,,,,,,,,,,,,,,,,,,,,,,,,youth; music; multimedia; trendsetting; urban; hip hop; radio+digital,,,Enriched via web research April 2026; SABC data from SABC Rate Card FY2024-2025 (eff. July 2024) + BRC RAMS Amplify Jan'22-Dec'23. Cross-check with BRC TAMS/RAMS for TV.,,,,radio_5fm|station,radio_5fm,radio_station
5FM,slot,01:00-04:00,weekday,,24/7 national terrestrial FM + streaming,national,national,,english,Upwardly mobile and trendsetting youth.,Youth,Balanced (slight male-leaning),LSM 6-10,,,,,,,,,,,,,,,,,,,,,,,,,,,youth; music; multimedia; trendsetting; urban; hip hop; radio+digital,,,,,,,radio_5fm|slot|weekday|01:00-04:00,radio_5fm,radio_slot
5FM,slot,19:00-22:00,weekday,,24/7 national terrestrial FM + streaming,national,national,,english,Upwardly mobile and trendsetting youth.,Youth,Balanced (slight male-leaning),LSM 6-10,,,,,,,,,,,,,,,,,,,,,,,,,,,youth; music; multimedia; trendsetting; urban; hip hop; radio+digital,,,,,,,radio_5fm|slot|weekday|19:00-22:00,radio_5fm,radio_slot
5FM,slot,22:00-01:00,weekday,,24/7 national terrestrial FM + streaming,national,national,,english,Upwardly mobile and trendsetting youth.,Youth,Balanced (slight male-leaning),LSM 6-10,,,,,,,,,,,,,,,,,,,,,,,,,,,youth; music; multimedia; trendsetting; urban; hip hop; radio+digital,,,,,,,radio_5fm|slot|weekday|22:00-01:00,radio_5fm,radio_slot
5FM,slot,01:00-04:00,saturday,,24/7 national terrestrial FM + streaming,national,national,,english,Upwardly mobile and trendsetting youth.,Youth,Balanced (slight male-leaning),LSM 6-10,,,,,,,,,,,,,,,,,,,,,,,,,,,youth; music; multimedia; trendsetting; urban; hip hop; radio+digital,,,,,,,radio_5fm|slot|saturday|01:00-04:00,radio_5fm,radio_slot
5FM,slot,04:00-07:00,saturday,,24/7 national terrestrial FM + streaming,national,national,,english,Upwardly mobile and trendsetting youth.,Youth,Balanced (slight male-leaning),LSM 6-10,,,,,,,,,,,,,,,,,,,,,,,,,,,youth; music; multimedia; trendsetting; urban; hip hop; radio+digital,,,,,,,radio_5fm|slot|saturday|04:00-07:00,radio_5fm,radio_slot
5FM,slot,07:00-10:00,saturday,,24/7 national terrestrial FM + streaming,national,national,,english,Upwardly mobile and trendsetting youth.,Youth,Balanced (slight male-leaning),LSM 6-10,,,,,,,,,,,,,,,,,,,,,,,,,,,youth; music; multimedia; trendsetting; urban; hip hop; radio+digital,,,,,,,radio_5fm|slot|saturday|07:00-10:00,radio_5fm,radio_slot
5FM,slot,10:00-14:00,saturday,,24/7 national terrestrial FM + streaming,national,national,,english,Upwardly mobile and trendsetting youth.,Youth,Balanced (slight male-leaning),LSM 6-10,,,,,,,,,,,,,,,,,,,,,,,,,,,youth; music; multimedia; trendsetting; urban; hip hop; radio+digital,,,,,,,radio_5fm|slot|saturday|10:00-14:00,radio_5fm,radio_slot
5FM,slot,14:00-18:00,saturday,,24/7 national terrestrial FM + streaming,national,national,,english,Upwardly mobile and trendsetting youth.,Youth,Balanced (slight male-leaning),LSM 6-10,,,,,,,,,,,,,,,,,,,,,,,,,,,youth; music; multimedia; trendsetting; urban; hip hop; radio+digital,,,,,,,radio_5fm|slot|saturday|14:00-18:00,radio_5fm,radio_slot
5FM,slot,18:00-19:00,saturday,,24/7 national terrestrial FM + streaming,national,national,,english,Upwardly mobile and trendsetting youth.,Youth,Balanced (slight male-leaning),LSM 6-10,,,,,,,,,,,,,,,,,,,,,,,,,,,youth; music; multimedia; trendsetting; urban; hip hop; radio+digital,,,,,,,radio_5fm|slot|saturday|18:00-19:00,radio_5fm,radio_slot
5FM,slot,19:00-22:00,saturday,,24/7 national terrestrial FM + streaming,national,national,,english,Upwardly mobile and trendsetting youth.,Youth,Balanced (slight male-leaning),LSM 6-10,,,,,,,,,,,,,,,,,,,,,,,,,,,youth; music; multimedia; trendsetting; urban; hip hop; radio+digital,,,,,,,radio_5fm|slot|saturday|19:00-22:00,radio_5fm,radio_slot
5FM,slot,22:00-01:00,saturday,,24/7 national terrestrial FM + streaming,national,national,,english,Upwardly mobile and trendsetting youth.,Youth,Balanced (slight male-leaning),LSM 6-10,,,,,,,,,,,,,,,,,,,,,,,,,,,youth; music; multimedia; trendsetting; urban; hip hop; radio+digital,,,,,,,radio_5fm|slot|saturday|22:00-01:00,radio_5fm,radio_slot
5FM,slot,01:00-04:00,sunday,,24/7 national terrestrial FM + streaming,national,national,,english,Upwardly mobile and trendsetting youth.,Youth,Balanced (slight male-leaning),LSM 6-10,,,,,,,,,,,,,,,,,,,,,,,,,,,youth; music; multimedia; trendsetting; urban; hip hop; radio+digital,,,,,,,radio_5fm|slot|sunday|01:00-04:00,radio_5fm,radio_slot
5FM,slot,04:00-07:00,sunday,,24/7 national terrestrial FM + streaming,national,national,,english,Upwardly mobile and trendsetting youth.,Youth,Balanced (slight male-leaning),LSM 6-10,,,,,,,,,,,,,,,,,,,,,,,,,,,youth; music; multimedia; trendsetting; urban; hip hop; radio+digital,,,,,,,radio_5fm|slot|sunday|04:00-07:00,radio_5fm,radio_slot
5FM,slot,07:00-10:00,sunday,,24/7 national terrestrial FM + streaming,national,national,,english,Upwardly mobile and trendsetting youth.,Youth,Balanced (slight male-leaning),LSM 6-10,,,,,,,,,,,,,,,,,,,,,,,,,,,youth; music; multimedia; trendsetting; urban; hip hop; radio+digital,,,,,,,radio_5fm|slot|sunday|07:00-10:00,radio_5fm,radio_slot
5FM,slot,10:00-14:00,sunday,,24/7 national terrestrial FM + streaming,national,national,,english,Upwardly mobile and trendsetting youth.,Youth,Balanced (slight male-leaning),LSM 6-10,,,,,,,,,,,,,,,,,,,,,,,,,,,youth; music; multimedia; trendsetting; urban; hip hop; radio+digital,,,,,,,radio_5fm|slot|sunday|10:00-14:00,radio_5fm,radio_slot
5FM,slot,14:00-18:00,sunday,,24/7 national terrestrial FM + streaming,national,national,,english,Upwardly mobile and trendsetting youth.,Youth,Balanced (slight male-leaning),LSM 6-10,,,,,,,,,,,,,,,,,,,,,,,,,,,youth; music; multimedia; trendsetting; urban; hip hop; radio+digital,,,,,,,radio_5fm|slot|sunday|14:00-18:00,radio_5fm,radio_slot
5FM,slot,18:00-21:00,sunday,,24/7 national terrestrial FM + streaming,national,national,,english,Upwardly mobile and trendsetting youth.,Youth,Balanced (slight male-leaning),LSM 6-10,,,,,,,,,,,,,,,,,,,,,,,,,,,youth; music; multimedia; trendsetting; urban; hip hop; radio+digital,,,,,,,radio_5fm|slot|sunday|18:00-21:00,radio_5fm,radio_slot
5FM,slot,21:00-01:00,sunday,,24/7 national terrestrial FM + streaming,national,national,,english,Upwardly mobile and trendsetting youth.,Youth,Balanced (slight male-leaning),LSM 6-10,,,,,,,,,,,,,,,,,,,,,,,,,,,youth; music; multimedia; trendsetting; urban; hip hop; radio+digital,,,,,,,radio_5fm|slot|sunday|21:00-01:00,radio_5fm,radio_slot
