station_name,row_kind,slot,day_group,package_name,broadcast_frequency,coverage_type,province_codes,city_labels,language_codes,target_audience,existing_audience_age_skew,existing_audience_gender_skew,existing_audience_lsm_range,station_tier,station_format,audience_income_fit,premium_mass_fit,price_positioning_fit,youth_fit,family_fit,professional_fit,commuter_fit,high_value_client_fit,business_decision_maker_fit,morning_drive_fit,workday_fit,afternoon_drive_fit,evening_fit,weekend_fit,urban_rural_fit,language_context_fit,buying_behaviour_fit,brand_safety_fit,objective_fit_primary,objective_fit_secondary,audience_age_skew,audience_gender_skew,content_environment,presenter_or_show_context,primary_audience_tags,secondary_audience_tags,recommendation_tags,intelligence_notes,source_urls,data_confidence,updated_by,internal_key,media_outlet_code,source_type
Ligwalagwala FM,station,,,,"24/7 terrestrial FM; Swati-language, Mpumalanga and Eswatini",regional,mpumalanga,,siswati,"Young, motivated, upwardly mobile Black SiSwati-speaking listeners.",Young-adult leaning,Balanced,LSM 3-6,,,,,,,,,,,,,,,,,,,,,,,,,,,isiSwati; Mpumalanga; young; upwardly mobile; music; talk,,,"Pricing guidance: Weekday Breakfast (06:00–09:00): R4,500–R6,500 per 30"" spot; Drive (16:00–18:00): R3,500–R5,000 (SABC FY2024-2025 rate card) | Enriched via web research April 2026; SABC data from SABC Rate Card FY2024-2025 (eff. July 2024) + BRC RAMS Amplify Jan'22-Dec'23. Cross-check with BRC TAMS/RAMS for TV.",,,,radio_ligwalagwala_fm|station,radio_ligwalagwala_fm,radio_station
Ligwalagwala FM,slot,03:00-06:00,sunday,,"24/7 terrestrial FM; Swati-language, Mpumalanga and Eswatini",regional,mpumalanga,,siswati,"Young, motivated, upwardly mobile Black SiSwati-speaking listeners.",Young-adult leaning,Balanced,LSM 3-6,,,,,,,,,,,,,,,,,,,,,,,,,,,isiSwati; Mpumalanga; young; upwardly mobile; music; talk,,,,,,,radio_ligwalagwala_fm|slot|sunday|03:00-06:00,radio_ligwalagwala_fm,radio_slot
Ligwalagwala FM,slot,06:00-07:00,sunday,,"24/7 terrestrial FM; Swati-language, Mpumalanga and Eswatini",regional,mpumalanga,,siswati,"Young, motivated, upwardly mobile Black SiSwati-speaking listeners.",Young-adult leaning,Balanced,LSM 3-6,,,,,,,,,,,,,,,,,,,,,,,,,,,isiSwati; Mpumalanga; young; upwardly mobile; music; talk,,,,,,,radio_ligwalagwala_fm|slot|sunday|06:00-07:00,radio_ligwalagwala_fm,radio_slot
Ligwalagwala FM,slot,07:00-10:00,sunday,,"24/7 terrestrial FM; Swati-language, Mpumalanga and Eswatini",regional,mpumalanga,,siswati,"Young, motivated, upwardly mobile Black SiSwati-speaking listeners.",Young-adult leaning,Balanced,LSM 3-6,,,,,,,,,,,,,,,,,,,,,,,,,,,isiSwati; Mpumalanga; young; upwardly mobile; music; talk,,,,,,,radio_ligwalagwala_fm|slot|sunday|07:00-10:00,radio_ligwalagwala_fm,radio_slot
Ligwalagwala FM,slot,10:00-12:00,sunday,,"24/7 terrestrial FM; Swati-language, Mpumalanga and Eswatini",regional,mpumalanga,,siswati,"Young, motivated, upwardly mobile Black SiSwati-speaking listeners.",Young-adult leaning,Balanced,LSM 3-6,,,,,,,,,,,,,,,,,,,,,,,,,,,isiSwati; Mpumalanga; young; upwardly mobile; music; talk,,,,,,,radio_ligwalagwala_fm|slot|sunday|10:00-12:00,radio_ligwalagwala_fm,radio_slot
Ligwalagwala FM,slot,12:00-15:00,sunday,,"24/7 terrestrial FM; Swati-language, Mpumalanga and Eswatini",regional,mpumalanga,,siswati,"Young, motivated, upwardly mobile Black SiSwati-speaking listeners.",Young-adult leaning,Balanced,LSM 3-6,,,,,,,,,,,,,,,,,,,,,,,,,,,isiSwati; Mpumalanga; young; upwardly mobile; music; talk,,,,,,,radio_ligwalagwala_fm|slot|sunday|12:00-15:00,radio_ligwalagwala_fm,radio_slot
Ligwalagwala FM,slot,15:00-18:00,sunday,,"24/7 terrestrial FM; Swati-language, Mpumalanga and Eswatini",regional,mpumalanga,,siswati,"Young, motivated, upwardly mobile Black SiSwati-speaking listeners.",Young-adult leaning,Balanced,LSM 3-6,,,,,,,,,,,,,,,,,,,,,,,,,,,isiSwati; Mpumalanga; young; upwardly mobile; music; talk,,,,,,,radio_ligwalagwala_fm|slot|sunday|15:00-18:00,radio_ligwalagwala_fm,radio_slot
Ligwalagwala FM,slot,18:00-19:00,sunday,,"24/7 terrestrial FM; Swati-language, Mpumalanga and Eswatini",regional,mpumalanga,,siswati,"Young, motivated, upwardly mobile Black SiSwati-speaking listeners.",Young-adult leaning,Balanced,LSM 3-6,,,,,,,,,,,,,,,,,,,,,,,,,,,isiSwati; Mpumalanga; young; upwardly mobile; music; talk,,,,,,,radio_ligwalagwala_fm|slot|sunday|18:00-19:00,radio_ligwalagwala_fm,radio_slot
Ligwalagwala FM,slot,19:00-20:00,sunday,,"24/7 terrestrial FM; Swati-language, Mpumalanga and Eswatini",regional,mpumalanga,,siswati,"Young, motivated, upwardly mobile Black SiSwati-speaking listeners.",Young-adult leaning,Balanced,LSM 3-6,,,,,,,,,,,,,,,,,,,,,,,,,,,isiSwati; Mpumalanga; young; upwardly mobile; music; talk,,,,,,,radio_ligwalagwala_fm|slot|sunday|19:00-20:00,radio_ligwalagwala_fm,radio_slot
Ligwalagwala FM,slot,20:00-22:00,sunday,,"24/7 terrestrial FM; Swati-language, Mpumalanga and Eswatini",regional,mpumalanga,,siswati,"Young, motivated, upwardly mobile Black SiSwati-speaking listeners.",Young-adult leaning,Balanced,LSM 3-6,,,,,,,,,,,,,,,,,,,,,,,,,,,isiSwati; Mpumalanga; young; upwardly mobile; music; talk,,,,,,,radio_ligwalagwala_fm|slot|sunday|20:00-22:00,radio_ligwalagwala_fm,radio_slot
Ligwalagwala FM,slot,22:00-24:00,sunday,,"24/7 terrestrial FM; Swati-language, Mpumalanga and Eswatini",regional,mpumalanga,,siswati,"Young, motivated, upwardly mobile Black SiSwati-speaking listeners.",Young-adult leaning,Balanced,LSM 3-6,,,,,,,,,,,,,,,,,,,,,,,,,,,isiSwati; Mpumalanga; young; upwardly mobile; music; talk,,,,,,,radio_ligwalagwala_fm|slot|sunday|22:00-24:00,radio_ligwalagwala_fm,radio_slot
