station_name,row_kind,slot,day_group,package_name,broadcast_frequency,coverage_type,province_codes,city_labels,language_codes,target_audience,existing_audience_age_skew,existing_audience_gender_skew,existing_audience_lsm_range,station_tier,station_format,audience_income_fit,premium_mass_fit,price_positioning_fit,youth_fit,family_fit,professional_fit,commuter_fit,high_value_client_fit,business_decision_maker_fit,morning_drive_fit,workday_fit,afternoon_drive_fit,evening_fit,weekend_fit,urban_rural_fit,language_context_fit,buying_behaviour_fit,brand_safety_fit,objective_fit_primary,objective_fit_secondary,audience_age_skew,audience_gender_skew,content_environment,presenter_or_show_context,primary_audience_tags,secondary_audience_tags,recommendation_tags,intelligence_notes,source_urls,data_confidence,updated_by,internal_key,media_outlet_code,source_type
SAfm,station,,,,"24/7 national FM; English-language public broadcaster, news/talk",national,national,,english,"English-speaking professionals, opinion leaders, educated adults 35+",Adults 15+,Male-leaning,LSM 8-10,,,,,,,,,,,,,,,,,,,,,,,,,,,national; English; news; talk,,,"Pricing guidance: Weekday Breakfast (06:00–09:00): R3,500–R5,500 per 30"" spot; Drive (16:00–18:00): R3,000–R4,500 (SABC FY2024-2025 rate card) | Enriched via web research April 2026; SABC data from SABC Rate Card FY2024-2025 (eff. July 2024) + BRC RAMS Amplify Jan'22-Dec'23. Cross-check with BRC TAMS/RAMS for TV.",,,,radio_safm|station,radio_safm,radio_station
SAfm,slot,20:00-22:00,weekday,,"24/7 national FM; English-language public broadcaster, news/talk",national,national,,english,"English-speaking professionals, opinion leaders, educated adults 35+",Adults 15+,Male-leaning,LSM 8-10,,,,,,,,,,,,,,,,,,,,,,,,,,,national; English; news; talk,,,,,,,radio_safm|slot|weekday|20:00-22:00,radio_safm,radio_slot
SAfm,slot,22:00-24:00,weekday,,"24/7 national FM; English-language public broadcaster, news/talk",national,national,,english,"English-speaking professionals, opinion leaders, educated adults 35+",Adults 15+,Male-leaning,LSM 8-10,,,,,,,,,,,,,,,,,,,,,,,,,,,national; English; news; talk,,,,,,,radio_safm|slot|weekday|22:00-24:00,radio_safm,radio_slot
SAfm,slot,00:00-03:00,saturday,,"24/7 national FM; English-language public broadcaster, news/talk",national,national,,english,"English-speaking professionals, opinion leaders, educated adults 35+",Adults 15+,Male-leaning,LSM 8-10,,,,,,,,,,,,,,,,,,,,,,,,,,,national; English; news; talk,,,,,,,radio_safm|slot|saturday|00:00-03:00,radio_safm,radio_slot
SAfm,slot,03:00-06:00,saturday,,"24/7 national FM; English-language public broadcaster, news/talk",national,national,,english,"English-speaking professionals, opinion leaders, educated adults 35+",Adults 15+,Male-leaning,LSM 8-10,,,,,,,,,,,,,,,,,,,,,,,,,,,national; English; news; talk,,,,,,,radio_safm|slot|saturday|03:00-06:00,radio_safm,radio_slot
SAfm,slot,06:00-07:00,saturday,,"24/7 national FM; English-language public broadcaster, news/talk",national,national,,english,"English-speaking professionals, opinion leaders, educated adults 35+",Adults 15+,Male-leaning,LSM 8-10,,,,,,,,,,,,,,,,,,,,,,,,,,,national; English; news; talk,,,,,,,radio_safm|slot|saturday|06:00-07:00,radio_safm,radio_slot
SAfm,slot,07:00-10:00,saturday,,"24/7 national FM; English-language public broadcaster, news/talk",national,national,,english,"English-speaking professionals, opinion leaders, educated adults 35+",Adults 15+,Male-leaning,LSM 8-10,,,,,,,,,,,,,,,,,,,,,,,,,,,national; English; news; talk,,,,,,,radio_safm|slot|saturday|07:00-10:00,radio_safm,radio_slot
SAfm,slot,10:00-13:00,saturday,,"24/7 national FM; English-language public broadcaster, news/talk",national,national,,english,"English-speaking professionals, opinion leaders, educated adults 35+",Adults 15+,Male-leaning,LSM 8-10,,,,,,,,,,,,,,,,,,,,,,,,,,,national; English; news; talk,,,,,,,radio_safm|slot|saturday|10:00-13:00,radio_safm,radio_slot
SAfm,slot,13:00-16:00,saturday,,"24/7 national FM; English-language public broadcaster, news/talk",national,national,,english,"English-speaking professionals, opinion leaders, educated adults 35+",Adults 15+,Male-leaning,LSM 8-10,,,,,,,,,,,,,,,,,,,,,,,,,,,national; English; news; talk,,,,,,,radio_safm|slot|saturday|13:00-16:00,radio_safm,radio_slot
SAfm,slot,16:00-19:00,saturday,,"24/7 national FM; English-language public broadcaster, news/talk",national,national,,english,"English-speaking professionals, opinion leaders, educated adults 35+",Adults 15+,Male-leaning,LSM 8-10,,,,,,,,,,,,,,,,,,,,,,,,,,,national; English; news; talk,,,,,,,radio_safm|slot|saturday|16:00-19:00,radio_safm,radio_slot
SAfm,slot,19:00-21:00,saturday,,"24/7 national FM; English-language public broadcaster, news/talk",national,national,,english,"English-speaking professionals, opinion leaders, educated adults 35+",Adults 15+,Male-leaning,LSM 8-10,,,,,,,,,,,,,,,,,,,,,,,,,,,national; English; news; talk,,,,,,,radio_safm|slot|saturday|19:00-21:00,radio_safm,radio_slot
SAfm,slot,21:00-22:00,saturday,,"24/7 national FM; English-language public broadcaster, news/talk",national,national,,english,"English-speaking professionals, opinion leaders, educated adults 35+",Adults 15+,Male-leaning,LSM 8-10,,,,,,,,,,,,,,,,,,,,,,,,,,,national; English; news; talk,,,,,,,radio_safm|slot|saturday|21:00-22:00,radio_safm,radio_slot
SAfm,slot,22:00-24:00,saturday,,"24/7 national FM; English-language public broadcaster, news/talk",national,national,,english,"English-speaking professionals, opinion leaders, educated adults 35+",Adults 15+,Male-leaning,LSM 8-10,,,,,,,,,,,,,,,,,,,,,,,,,,,national; English; news; talk,,,,,,,radio_safm|slot|saturday|22:00-24:00,radio_safm,radio_slot
SAfm,slot,00:00-03:00,sunday,,"24/7 national FM; English-language public broadcaster, news/talk",national,national,,english,"English-speaking professionals, opinion leaders, educated adults 35+",Adults 15+,Male-leaning,LSM 8-10,,,,,,,,,,,,,,,,,,,,,,,,,,,national; English; news; talk,,,,,,,radio_safm|slot|sunday|00:00-03:00,radio_safm,radio_slot
SAfm,slot,03:00-06:00,sunday,,"24/7 national FM; English-language public broadcaster, news/talk",national,national,,english,"English-speaking professionals, opinion leaders, educated adults 35+",Adults 15+,Male-leaning,LSM 8-10,,,,,,,,,,,,,,,,,,,,,,,,,,,national; English; news; talk,,,,,,,radio_safm|slot|sunday|03:00-06:00,radio_safm,radio_slot
SAfm,slot,06:00-07:00,sunday,,"24/7 national FM; English-language public broadcaster, news/talk",national,national,,english,"English-speaking professionals, opinion leaders, educated adults 35+",Adults 15+,Male-leaning,LSM 8-10,,,,,,,,,,,,,,,,,,,,,,,,,,,national; English; news; talk,,,,,,,radio_safm|slot|sunday|06:00-07:00,radio_safm,radio_slot
SAfm,slot,07:00-10:00,sunday,,"24/7 national FM; English-language public broadcaster, news/talk",national,national,,english,"English-speaking professionals, opinion leaders, educated adults 35+",Adults 15+,Male-leaning,LSM 8-10,,,,,,,,,,,,,,,,,,,,,,,,,,,national; English; news; talk,,,,,,,radio_safm|slot|sunday|07:00-10:00,radio_safm,radio_slot
SAfm,slot,10:00-13:00,sunday,,"24/7 national FM; English-language public broadcaster, news/talk",national,national,,english,"English-speaking professionals, opinion leaders, educated adults 35+",Adults 15+,Male-leaning,LSM 8-10,,,,,,,,,,,,,,,,,,,,,,,,,,,national; English; news; talk,,,,,,,radio_safm|slot|sunday|10:00-13:00,radio_safm,radio_slot
SAfm,slot,13:00-16:00,sunday,,"24/7 national FM; English-language public broadcaster, news/talk",national,national,,english,"English-speaking professionals, opinion leaders, educated adults 35+",Adults 15+,Male-leaning,LSM 8-10,,,,,,,,,,,,,,,,,,,,,,,,,,,national; English; news; talk,,,,,,,radio_safm|slot|sunday|13:00-16:00,radio_safm,radio_slot
SAfm,slot,16:00-19:00,sunday,,"24/7 national FM; English-language public broadcaster, news/talk",national,national,,english,"English-speaking professionals, opinion leaders, educated adults 35+",Adults 15+,Male-leaning,LSM 8-10,,,,,,,,,,,,,,,,,,,,,,,,,,,national; English; news; talk,,,,,,,radio_safm|slot|sunday|16:00-19:00,radio_safm,radio_slot
SAfm,slot,19:00-21:00,sunday,,"24/7 national FM; English-language public broadcaster, news/talk",national,national,,english,"English-speaking professionals, opinion leaders, educated adults 35+",Adults 15+,Male-leaning,LSM 8-10,,,,,,,,,,,,,,,,,,,,,,,,,,,national; English; news; talk,,,,,,,radio_safm|slot|sunday|19:00-21:00,radio_safm,radio_slot
SAfm,slot,21:00-22:00,sunday,,"24/7 national FM; English-language public broadcaster, news/talk",national,national,,english,"English-speaking professionals, opinion leaders, educated adults 35+",Adults 15+,Male-leaning,LSM 8-10,,,,,,,,,,,,,,,,,,,,,,,,,,,national; English; news; talk,,,,,,,radio_safm|slot|sunday|21:00-22:00,radio_safm,radio_slot
SAfm,slot,22:00-24:00,sunday,,"24/7 national FM; English-language public broadcaster, news/talk",national,national,,english,"English-speaking professionals, opinion leaders, educated adults 35+",Adults 15+,Male-leaning,LSM 8-10,,,,,,,,,,,,,,,,,,,,,,,,,,,national; English; news; talk,,,,,,,radio_safm|slot|sunday|22:00-24:00,radio_safm,radio_slot
