"Inventory ID","Publisher","Publication","Channel","Category","Ad Product","Colour/Type","Billing Unit","Base Rate (R excl VAT)","Currency","VAT Applicable","Region/Run","Specs / Size","Booking Deadline","Material Deadline","Contact","Source"
"ARENA-0037","Arena Holdings","Daily Dispatch","Print","OPI","Outside Printed Insert","Tabloid","Per Thousand","1271","ZAR","Excl VAT","Eastern Cape","24 to 32","","","","Daily Dispatch 2026 PDF p4"
"ARENA-0038","Arena Holdings","Daily Dispatch","Print","OPI","Outside Printed Insert","A4","Per Thousand","1120","ZAR","Excl VAT","Eastern Cape","4 to 8","","","","Daily Dispatch 2026 PDF p4"
"ARENA-0039","Arena Holdings","Daily Dispatch","Print","OPI","Outside Printed Insert","A4","Per Thousand","1184","ZAR","Excl VAT","Eastern Cape","8 to 16","","","","Daily Dispatch 2026 PDF p4"
"ARENA-0040","Arena Holdings","Daily Dispatch","Print","OPI","Outside Printed Insert","A4","Per Thousand","1257","ZAR","Excl VAT","Eastern Cape","16 to 24","","","","Daily Dispatch 2026 PDF p4"
"ARENA-0041","Arena Holdings","Daily Dispatch","Print","OPI","Outside Printed Insert","A4","Per Thousand","1329","ZAR","Excl VAT","Eastern Cape","24 to 32","","","","Daily Dispatch 2026 PDF p4"
"ARENA-0042","Arena Holdings","Daily Dispatch","Print","OPI","Outside Printed Insert","A5","Per Thousand","1347","ZAR","Excl VAT","Eastern Cape","4 to 8","","","","Daily Dispatch 2026 PDF p4"
"ARENA-0043","Arena Holdings","Daily Dispatch","Print","OPI","Outside Printed Insert","A5","Per Thousand","1425","ZAR","Excl VAT","Eastern Cape","8 to 16","","","","Daily Dispatch 2026 PDF p4"
"ARENA-0044","Arena Holdings","Daily Dispatch","Print","OPI","Outside Printed Insert","A5","Per Thousand","1509","ZAR","Excl VAT","Eastern Cape","16 to 24","","","","Daily Dispatch 2026 PDF p4"
"ARENA-0045","Arena Holdings","Daily Dispatch","Print","OPI","Outside Printed Insert","A5","Per Thousand","1603","ZAR","Excl VAT","Eastern Cape","24 to 32","","","","Daily Dispatch 2026 PDF p4"
"ARENA-0046","Arena Holdings","Sowetan","Print","Main Body","Main Body","Full Colour","psccm","440","ZAR","Excl VAT","National","","3 working days prior","2 working days prior","Marlon Hoff | 011 280 3333 | hoffm@arena.africa","Sowetan 2026 PDF p2-p5"
"ARENA-0047","Arena Holdings","Sowetan","Print","Main Body","Main Body","1 Spot Colour","psccm","342","ZAR","Excl VAT","National","","3 working days prior","2 working days prior","Marlon Hoff | 011 280 3333 | hoffm@arena.africa","Sowetan 2026 PDF p2-p5"
"ARENA-0048","Arena Holdings","Sowetan","Print","Main Body","Main Body","Black & White","psccm","266","ZAR","Excl VAT","National","","3 working days prior","2 working days prior","Marlon Hoff | 011 280 3333 | hoffm@arena.africa","Sowetan 2026 PDF p2-p5"
"ARENA-0049","Arena Holdings","Sowetan","Print","Regional Rates","Main Body Regional","Full Colour","psccm","380","ZAR","Excl VAT","Gauteng/Limpopo/North West/Mpumalanga","","","","","Sowetan 2026 PDF p2-p5"
"ARENA-0050","Arena Holdings","Sowetan","Print","Regional Rates","Main Body Regional","1 Spot Colour","psccm","285","ZAR","Excl VAT","Gauteng/Limpopo/North West/Mpumalanga","","","","","Sowetan 2026 PDF p2-p5"
"ARENA-0051","Arena Holdings","Sowetan","Print","Regional Rates","Main Body Regional","Black & White","psccm","214","ZAR","Excl VAT","Gauteng/Limpopo/North West/Mpumalanga","","","","","Sowetan 2026 PDF p2-p5"
"ARENA-0052","Arena Holdings","Sowetan","Print","Regional Rates","Main Body Regional","Full Colour","psccm","185","ZAR","Excl VAT","Free State","","","","","Sowetan 2026 PDF p2-p5"
"ARENA-0053","Arena Holdings","Sowetan","Print","Regional Rates","Main Body Regional","1 Spot Colour","psccm","164","ZAR","Excl VAT","Free State","","","","","Sowetan 2026 PDF p2-p5"
"ARENA-0054","Arena Holdings","Sowetan","Print","Regional Rates","Main Body Regional","Black & White","psccm","139","ZAR","Excl VAT","Free State","","","","","Sowetan 2026 PDF p2-p5"
"ARENA-0055","Arena Holdings","Sowetan","Print","Auctions","Auctions","Full Colour","psccm","413","ZAR","Excl VAT","National","","","","","Sowetan 2026 PDF p2-p5"
"ARENA-0056","Arena Holdings","Sowetan","Print","Auctions","Auctions","1 Spot Colour","psccm","309","ZAR","Excl VAT","National","","","","","Sowetan 2026 PDF p2-p5"
"ARENA-0057","Arena Holdings","Sowetan","Print","Auctions","Auctions","Black & White","psccm","241","ZAR","Excl VAT","National","","","","","Sowetan 2026 PDF p2-p5"
"ARENA-0058","Arena Holdings","Sowetan","Print","Tenders","Tenders","Full Colour","psccm","357","ZAR","Excl VAT","National","","","","","Sowetan 2026 PDF p2-p5"
"ARENA-0059","Arena Holdings","Sowetan","Print","Tenders","Tenders","1 Spot Colour","psccm","279","ZAR","Excl VAT","National","","","","","Sowetan 2026 PDF p2-p5"
"ARENA-0060","Arena Holdings","Sowetan","Print","Tenders","Tenders","Black & White","psccm","225","ZAR","Excl VAT","National","","","","","Sowetan 2026 PDF p2-p5"
"ARENA-0061","Arena Holdings","Sowetan","Print","Job Market","Job Market","1 Spot Colour","psccm","328","ZAR","Excl VAT","National","","","","","Sowetan 2026 PDF p2-p5"
"ARENA-0062","Arena Holdings","Sowetan","Print","Job Market","Job Market","Black & White","psccm","263","ZAR","Excl VAT","National","","","","","Sowetan 2026 PDF p2-p5"
"ARENA-0063","Arena Holdings","Sowetan","Print","OPI","Outside Printed Insert","Tabloid","Per Thousand","900","ZAR","Excl VAT","National","4 to 8","","","","Sowetan 2026 PDF p3"
"ARENA-0064","Arena Holdings","Sowetan","Print","OPI","Outside Printed Insert","Tabloid","Per Thousand","967","ZAR","Excl VAT","National","8 to 16","","","","Sowetan 2026 PDF p3"
"ARENA-0065","Arena Holdings","Sowetan","Print","OPI","Outside Printed Insert","Tabloid","Per Thousand","1034","ZAR","Excl VAT","National","16 to 24","","","","Sowetan 2026 PDF p3"
"ARENA-0066","Arena Holdings","Sowetan","Print","OPI","Outside Printed Insert","Tabloid","Per Thousand","1097","ZAR","Excl VAT","National","24 to 32","","","","Sowetan 2026 PDF p3"
"ARENA-0067","Arena Holdings","Sowetan","Print","OPI","Outside Printed Insert","A4","Per Thousand","824","ZAR","Excl VAT","National","4 to 8","","","","Sowetan 2026 PDF p3"
"ARENA-0068","Arena Holdings","Sowetan","Print","OPI","Outside Printed Insert","A4","Per Thousand","871","ZAR","Excl VAT","National","8 to 16","","","","Sowetan 2026 PDF p3"
"ARENA-0069","Arena Holdings","Sowetan","Print","OPI","Outside Printed Insert","A4","Per Thousand","917","ZAR","Excl VAT","National","16 to 24","","","","Sowetan 2026 PDF p3"
"ARENA-0070","Arena Holdings","Sowetan","Print","OPI","Outside Printed Insert","A4","Per Thousand","973","ZAR","Excl VAT","National","24 to 32","","","","Sowetan 2026 PDF p3"
"ARENA-0071","Arena Holdings","Sowetan","Print","OPI","Outside Printed Insert","A5","Per Thousand","1109","ZAR","Excl VAT","National","4 to 8","","","","Sowetan 2026 PDF p3"
"ARENA-0072","Arena Holdings","Sowetan","Print","OPI","Outside Printed Insert","A5","Per Thousand","1127","ZAR","Excl VAT","National","8 to 16","","","","Sowetan 2026 PDF p3"
"ARENA-0073","Arena Holdings","Sowetan","Print","OPI","Outside Printed Insert","A5","Per Thousand","1176","ZAR","Excl VAT","National","16 to 24","","","","Sowetan 2026 PDF p3"
"ARENA-0074","Arena Holdings","Sowetan Motoring","Print","Motoring Main Body","Motoring","Full Colour","psccm","296","ZAR","Excl VAT","National","","","Friday prior to publication","","Sowetan 2026 PDF p4"
"ARENA-0075","Arena Holdings","Sowetan Motoring","Print","Motoring Main Body","Motoring","1 Spot Colour","psccm","236","ZAR","Excl VAT","National","","","Friday prior to publication","","Sowetan 2026 PDF p4"
"ARENA-0076","Arena Holdings","Sowetan Motoring","Print","Motoring Main Body","Motoring","Black & White","psccm","188","ZAR","Excl VAT","National","","","Friday prior to publication","","Sowetan 2026 PDF p4"
"ARENA-0077","Arena Holdings","Sowetan","Print","Classified","Classified","Classified Linage 1-3 insertions","psccm","220","ZAR","Excl VAT","National","","12h00, 2 working days prior","12h00, 2 working days prior","Sylvia Yedwa | 011 280 3434 | yedwas@arena.africa","Sowetan 2026 PDF p5"
"ARENA-0078","Arena Holdings","Sowetan","Print","Classified","Classified","Classified Linage 4+ insertions","psccm","178","ZAR","Excl VAT","National","","12h00, 2 working days prior","12h00, 2 working days prior","Sylvia Yedwa | 011 280 3434 | yedwas@arena.africa","Sowetan 2026 PDF p5"
"ARENA-0079","Arena Holdings","Sowetan","Print","Classified","Classified","Sales in Execution","psccm","167","ZAR","Excl VAT","National","","12h00, 2 working days prior","12h00, 2 working days prior","Sylvia Yedwa | 011 280 3434 | yedwas@arena.africa","Sowetan 2026 PDF p5"
"ARENA-0080","Arena Holdings","Sowetan","Print","Classified","Classified","Creditors & Debtors","Fixed","750","ZAR","Excl VAT","National","","12h00, 2 working days prior","12h00, 2 working days prior","Sylvia Yedwa | 011 280 3434 | yedwas@arena.africa","Sowetan 2026 PDF p5"
"ARENA-0081","Arena Holdings","Sowetan","Print","Classified","Classified","Liquidation & Distribution","Fixed","750","ZAR","Excl VAT","National","","12h00, 2 working days prior","12h00, 2 working days prior","Sylvia Yedwa | 011 280 3434 | yedwas@arena.africa","Sowetan 2026 PDF p5"
"ARENA-0082","Arena Holdings","Sowetan","Print","Classified","Classified","Insolvencies","Fixed","750","ZAR","Excl VAT","National","","12h00, 2 working days prior","12h00, 2 working days prior","Sylvia Yedwa | 011 280 3434 | yedwas@arena.africa","Sowetan 2026 PDF p5"
"ARENA-0083","Arena Holdings","Sowetan","Print","Classified","Classified","Town Planning","Fixed","848","ZAR","Excl VAT","National","","12h00, 2 working days prior","12h00, 2 working days prior","Sylvia Yedwa | 011 280 3434 | yedwas@arena.africa","Sowetan 2026 PDF p5"
"ARENA-0084","Arena Holdings","Sowetan","Print","Classified","Classified","Liquor Act","Fixed","691","ZAR","Excl VAT","National","","12h00, 2 working days prior","12h00, 2 working days prior","Sylvia Yedwa | 011 280 3434 | yedwas@arena.africa","Sowetan 2026 PDF p5"
"ARENA-0085","Arena Holdings","Sowetan","Print","Classified","Classified","Petroleum Licenses","Fixed","1478","ZAR","Excl VAT","National","","12h00, 2 working days prior","12h00, 2 working days prior","Sylvia Yedwa | 011 280 3434 | yedwas@arena.africa","Sowetan 2026 PDF p5"
"ARENA-0086","Arena Holdings","Sowetan","Print","Classified","Classified","Funeral Notice","Fixed","400","ZAR","Excl VAT","National","","12h00, 2 working days prior","12h00, 2 working days prior","Sylvia Yedwa | 011 280 3434 | yedwas@arena.africa","Sowetan 2026 PDF p5"
"ARENA-0087","Arena Holdings","Sowetan","Print","Classified","Classified","Lost Deeds","Fixed","730.5","ZAR","Excl VAT","National","","12h00, 2 working days prior","12h00, 2 working days prior","Sylvia Yedwa | 011 280 3434 | yedwas@arena.africa","Sowetan 2026 PDF p5"
"ARENA-0088","Arena Holdings","Sunday Times","Print","Main Body & Sports","Main Body/Sports","Full Colour","psccm","1394","ZAR","Excl VAT","National","","Thursday 16h00 prior","Thursday 16h00 prior","Marlon Hoff | 011 280 3333 | hoffm@arena.africa","Sunday Times 2026 PDF p2-p10"
"ARENA-0089","Arena Holdings","Sunday Times","Print","Main Body & Sports","Main Body/Sports","1 Spot Colour","psccm","1332","ZAR","Excl VAT","National","","Thursday 16h00 prior","Thursday 16h00 prior","Marlon Hoff | 011 280 3333 | hoffm@arena.africa","Sunday Times 2026 PDF p2-p10"
"ARENA-0090","Arena Holdings","Sunday Times","Print","Main Body & Sports","Main Body/Sports","Black & White","psccm","876","ZAR","Excl VAT","National","","Thursday 16h00 prior","Thursday 16h00 prior","Marlon Hoff | 011 280 3333 | hoffm@arena.africa","Sunday Times 2026 PDF p2-p10"
"ARENA-0091","Arena Holdings","Sunday Times","Print","Special Position","Front Page Solus 10x9","Solus","Fixed","278800","ZAR","Excl VAT","National","","","","","Sunday Times 2026 PDF p2-p10"
"ARENA-0092","Arena Holdings","Sunday Times","Print","Special Position","Front Page Solus 25x3","Solus","Fixed","209100","ZAR","Excl VAT","National","","","","","Sunday Times 2026 PDF p2-p10"
"ARENA-0093","Arena Holdings","Sunday Times","Print","Special Position","Front Page Solus 20x9","Solus","Fixed","557600","ZAR","Excl VAT","National","","","","","Sunday Times 2026 PDF p2-p10"
"ARENA-0094","Arena Holdings","Sunday Times","Print","Special Position","Sports Back Page Solus 10x9","Solus","Fixed","209100","ZAR","Excl VAT","National","","","","","Sunday Times 2026 PDF p2-p10"
"ARENA-0095","Arena Holdings","Business Times","Print","Main Body","Business Times","Full Colour","psccm","1049","ZAR","Excl VAT","National","","","","","Sunday Times 2026 PDF p3"
"ARENA-0096","Arena Holdings","Business Times","Print","Main Body","Business Times","1 Spot Colour","psccm","928","ZAR","Excl VAT","National","","","","","Sunday Times 2026 PDF p3"
"ARENA-0097","Arena Holdings","Business Times","Print","Main Body","Business Times","Black & White","psccm","748","ZAR","Excl VAT","National","","","","","Sunday Times 2026 PDF p3"
"ARENA-0098","Arena Holdings","Business Times","Print","Special Position","Front Page Solus 10x9","Solus","Fixed","209800","ZAR","Excl VAT","National","","","","","Sunday Times 2026 PDF p3"
"ARENA-0099","Arena Holdings","Business Times","Print","Special Position","Front Page Solus 20x9","Solus","Fixed","419600","ZAR","Excl VAT","National","","","","","Sunday Times 2026 PDF p3"
"ARENA-0100","Arena Holdings","Business Times","Print","Special Position","Front Page Solus 27x9","Solus","Fixed","566460","ZAR","Excl VAT","National","","","","","Sunday Times 2026 PDF p3"
"ARENA-0101","Arena Holdings","Business Times","Print","Section Rates","Financial Notices","Financial Notices","psccm","962","ZAR","Excl VAT","National","","","","","Sunday Times 2026 PDF p3"
"ARENA-0102","Arena Holdings","Business Times","Print","Section Rates","Legal/Tenders/Officials Full Colour","Legal/Tenders/Officials Full Colour","psccm","992","ZAR","Excl VAT","National","","","","","Sunday Times 2026 PDF p3"
"ARENA-0103","Arena Holdings","Business Times","Print","Section Rates","Legal/Tenders/Officials 1 Spot","Legal/Tenders/Officials 1 Spot","psccm","880","ZAR","Excl VAT","National","","","","","Sunday Times 2026 PDF p3"
"ARENA-0104","Arena Holdings","Business Times","Print","Section Rates","Legal/Tenders/Officials B&W","Legal/Tenders/Officials B&W","psccm","710","ZAR","Excl VAT","National","","","","","Sunday Times 2026 PDF p3"
"ARENA-0105","Arena Holdings","Business Times","Print","Section Rates","Auctions Full Colour","Auctions Full Colour","psccm","624","ZAR","Excl VAT","National","","","","","Sunday Times 2026 PDF p3"
"ARENA-0106","Arena Holdings","Business Times","Print","Section Rates","Auctions 1 Spot","Auctions 1 Spot","psccm","583","ZAR","Excl VAT","National","","","","","Sunday Times 2026 PDF p3"
"ARENA-0107","Arena Holdings","Business Times","Print","Section Rates","Auctions B&W","Auctions B&W","psccm","539","ZAR","Excl VAT","National","","","","","Sunday Times 2026 PDF p3"
"ARENA-0108","Arena Holdings","Sunday Times Careers","Print","Careers","Careers","Full Colour","psccm","823","ZAR","Excl VAT","National","","","","","Sunday Times 2026 PDF p4"
"ARENA-0109","Arena Holdings","Sunday Times Careers","Print","Careers","Careers","1 Spot Colour","psccm","789","ZAR","Excl VAT","National","","","","","Sunday Times 2026 PDF p4"
"ARENA-0110","Arena Holdings","Sunday Times Careers","Print","Careers","Careers","Black & White","psccm","687","ZAR","Excl VAT","National","","","","","Sunday Times 2026 PDF p4"
"ARENA-0111","Arena Holdings","Sunday Times","Print","Municipality Rates","Municipality","Full Colour","psccm","572","ZAR","Excl VAT","National","","","","","Sunday Times 2026 PDF p4"
"ARENA-0112","Arena Holdings","Sunday Times","Print","Municipality Rates","Municipality","1 Spot Colour","psccm","546","ZAR","Excl VAT","National","","","","","Sunday Times 2026 PDF p4"
"ARENA-0113","Arena Holdings","Sunday Times","Print","Municipality Rates","Municipality","Black & White","psccm","526","ZAR","Excl VAT","National","","","","","Sunday Times 2026 PDF p4"
"ARENA-0114","Arena Holdings","Sunday Times","Print","Classified","Family announcement","Family announcement","psccm","242","ZAR","Excl VAT","National","","","","","Sunday Times 2026 PDF p5"
"ARENA-0115","Arena Holdings","Sunday Times","Print","Classified","Classified trade","Classified trade","psccm","347","ZAR","Excl VAT","National","","","","","Sunday Times 2026 PDF p5"
"ARENA-0116","Arena Holdings","Sunday Times","Print","Classified","Classified legal","Classified legal","psccm","276","ZAR","Excl VAT","National","","","","","Sunday Times 2026 PDF p5"
"ARENA-0117","Arena Holdings","Sunday Times","Print","Classified","Lost Deeds","Lost Deeds","Fixed","730.5","ZAR","Excl VAT","National","","","","","Sunday Times 2026 PDF p5"
"ARENA-0118","Arena Holdings","Sunday Times","Print","Classified","Classified Display Full colour","Classified Display Full colour","psccm","416","ZAR","Excl VAT","National","","","","","Sunday Times 2026 PDF p5"
"ARENA-0119","Arena Holdings","Sunday Times","Print","Classified","Classified Display Black & white","Classified Display Black & white","psccm","332","ZAR","Excl VAT","National","","","","","Sunday Times 2026 PDF p5"
"ARENA-0120","Arena Holdings","Sunday Times Lifestyle","Print","Lifestyle/Fashion/Travel/Home/Food/Motoring","Lifestyle","Full Colour","psccm","459","ZAR","Excl VAT","National","","","","","Sunday Times 2026 PDF p7"
"ARENA-0121","Arena Holdings","Sunday Times Lifestyle","Print","Lifestyle/Fashion/Travel/Home/Food/Motoring","Lifestyle","1 Spot Colour","psccm","396","ZAR","Excl VAT","National","","","","","Sunday Times 2026 PDF p7"
"ARENA-0122","Arena Holdings","Sunday Times Lifestyle","Print","Lifestyle/Fashion/Travel/Home/Food/Motoring","Lifestyle","Black & White","psccm","276","ZAR","Excl VAT","National","","","","","Sunday Times 2026 PDF p7"
"ARENA-0123","Arena Holdings","Sunday Times","Print","OPI","Outside Printed Insert","Tabloid","Per Thousand","1097","ZAR","Excl VAT","National","Up to 8","","","","Sunday Times 2026 PDF p8"
"ARENA-0124","Arena Holdings","Sunday Times","Print","OPI","Outside Printed Insert","Tabloid","Per Thousand","1133","ZAR","Excl VAT","National","8 to 16","","","","Sunday Times 2026 PDF p8"
"ARENA-0125","Arena Holdings","Sunday Times","Print","OPI","Outside Printed Insert","Tabloid","Per Thousand","1170","ZAR","Excl VAT","National","16 to 24","","","","Sunday Times 2026 PDF p8"
"ARENA-0126","Arena Holdings","Sunday Times","Print","OPI","Outside Printed Insert","Tabloid","Per Thousand","1206","ZAR","Excl VAT","National","24 to 32","","","","Sunday Times 2026 PDF p8"
"ARENA-0127","Arena Holdings","Sunday Times","Print","OPI","Outside Printed Insert","A4","Per Thousand","930","ZAR","Excl VAT","National","Up to 8","","","","Sunday Times 2026 PDF p8"
"ARENA-0128","Arena Holdings","Sunday Times","Print","OPI","Outside Printed Insert","A4","Per Thousand","939","ZAR","Excl VAT","National","8 to 16","","","","Sunday Times 2026 PDF p8"
"ARENA-0129","Arena Holdings","Sunday Times","Print","OPI","Outside Printed Insert","A4","Per Thousand","1084","ZAR","Excl VAT","National","16 to 24","","","","Sunday Times 2026 PDF p8"
"ARENA-0130","Arena Holdings","Sunday Times","Print","OPI","Outside Printed Insert","A4","Per Thousand","1223","ZAR","Excl VAT","National","24 to 32","","","","Sunday Times 2026 PDF p8"
"ARENA-0131","Arena Holdings","Sunday Times","Print","OPI","Outside Printed Insert","A5","Per Thousand","1116","ZAR","Excl VAT","National","Up to 8","","","","Sunday Times 2026 PDF p8"
"ARENA-0132","Arena Holdings","Sunday Times","Print","OPI","Outside Printed Insert","A5","Per Thousand","1129","ZAR","Excl VAT","National","8 to 16","","","","Sunday Times 2026 PDF p8"
"ARENA-0133","Arena Holdings","Sunday Times","Print","OPI","Outside Printed Insert","A5","Per Thousand","1300","ZAR","Excl VAT","National","16 to 24","","","","Sunday Times 2026 PDF p8"
"ARENA-0134","Arena Holdings","Sunday Times","Print","OPI","Outside Printed Insert","A5","Per Thousand","1467","ZAR","Excl VAT","National","24 to 32","","","","Sunday Times 2026 PDF p8"
